time,X_value,Y_value,Z_value
0,0,0,0
0,-0.03396,-0.20233,-0.08316
0.021,0.22171,0.01392,-0.01605
0.15,0.28989,-0.03615,-0.07996
0.216,0.2249,0.36226,-0.32178
0.283,-0.26725,0.09381,-0.36971
0.349,-0.3024,-0.31845,-0.12151
0.415,-0.68057,-0.08409,-0.1556
0.481,-0.56552,0.13003,-0.24508
0.547,0.44648,0.51033,0.2769
0.613,0.90667,0.86826,0.81699
0.679,1.10375,0.23975,0.5837
0.745,0.45394,-0.20659,0.79142
0.811,0.1546,-0.36212,0.46545
0.877,-0.10426,-0.33123,0.03083
0.943,-0.28003,-0.07876,0.04148
1.008,-0.3024,-0.05533,-0.06292

Latitud,Longitud,

Altura,Ancho,Profundidad,Clasificación 
11.0917,11.0002,4.09202,Pequeño
